WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
90:CA:FA:9B:5C:CF,The Force,[WPA2_PSK],2025-3-28 14:34:9,1,-75,34.0443764,-117.2011185,375.90,2.50,WIFI
58:68:7A:10:AF:16,Cookie,[WPA2_WPA3_PSK],2025-3-28 14:34:9,1,-84,34.0443764,-117.2011185,375.90,2.50,WIFI
1E:67:BE:09:97:E9,,[WPA2_PSK],2025-3-28 14:34:9,1,-86,34.0443764,-117.2011185,375.90,2.50,WIFI
2C:67:BE:09:97:EF,SpectrumSetup-97EB,[WPA2_PSK],2025-3-28 14:34:9,1,-87,34.0443764,-117.2011185,375.90,2.50,WIFI
34:53:D2:52:09:CE,SpectrumSetup-C8,[WPA2_PSK],2025-3-28 14:34:9,1,-89,34.0443764,-117.2011185,375.90,2.50,WIFI
AA:0C:7A:D4:2C:F8,,[WPA2_PSK],2025-3-28 14:34:9,1,-91,34.0443764,-117.2011185,375.90,2.50,WIFI
9A:0C:7A:D4:2C:F8,SpectrumSetup-97EB,[WPA2_PSK],2025-3-28 14:34:9,1,-91,34.0443764,-117.2011185,375.90,2.50,WIFI
88:3D:24:AA:F1:9C,Davida,[WPA2_PSK],2025-3-28 14:34:9,1,-93,34.0443764,-117.2011185,375.90,2.50,WIFI
04:B6:BE:86:B3:34,,[WPA_WPA2_PSK],2025-3-28 14:34:9,1,-94,34.0443764,-117.2011185,375.90,2.50,WIFI
FC:34:97:05:D4:D0,Belle-2G,[WPA2_PSK],2025-3-28 14:34:10,2,-87,34.0443726,-117.2011185,375.70,2.50,WIFI
FC:34:97:05:D4:D1,BeOurGuest,[WPA2_WPA3_PSK],2025-3-28 14:34:10,2,-88,34.0443726,-117.2011185,375.70,2.50,WIFI
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],2025-3-28 14:34:11,3,-75,34.0443726,-117.2011185,375.40,2.50,WIFI
10:DA:43:99:AA:F6,NETGEAR29,[WPA2_PSK],2025-3-28 14:34:11,3,-89,34.0443726,-117.2011185,375.40,2.50,WIFI
54:04:63:FB:12:D8,,[WPA_WPA2_PSK],2025-3-28 14:34:11,3,-90,34.0443726,-117.2011185,375.40,2.50,WIFI
66:32:B1:31:E3:3E,,[WPA2_PSK],2025-3-28 14:34:11,3,-92,34.0443726,-117.2011185,375.40,2.50,WIFI
56:13:79:C7:1D:8E,DIRECT-8e-HP M281 LaserJet,[WPA2_PSK],2025-3-28 14:34:14,6,-70,34.0443726,-117.2011261,375.50,2.50,WIFI
90:CA:FA:9B:59:3C,The Force,[WPA2_PSK],2025-3-28 14:34:14,6,-70,34.0443726,-117.2011261,375.50,2.50,WIFI
D4:3F:32:6C:47:C6,durian,[WPA2_PSK],2025-3-28 14:34:14,6,-71,34.0443726,-117.2011261,375.50,2.50,WIFI
D4:3F:32:6C:47:C3,,[WPA3_PSK],2025-3-28 14:34:14,6,-71,34.0443726,-117.2011261,375.50,2.50,WIFI
D4:3F:32:6C:47:C9,,[OPEN],2025-3-28 14:34:14,6,-71,34.0443726,-117.2011261,375.50,2.50,WIFI
90:CA:FA:9B:5D:1A,The Force,[WPA2_PSK],2025-3-28 14:34:14,6,-75,34.0443726,-117.2011261,375.50,2.50,WIFI
80:78:71:80:F3:1F,SpectrumSetup-21,[WPA2_PSK],2025-3-28 14:34:14,6,-81,34.0443726,-117.2011261,375.50,2.50,WIFI
22:48:6C:B1:A8:3B,,[WPA2_PSK],2025-3-28 14:34:14,6,-86,34.0443726,-117.2011261,375.50,2.50,WIFI
58:2F:F7:75:40:C6,SpectrumSetup-C0,[WPA2_PSK],2025-3-28 14:34:14,6,-90,34.0443726,-117.2011261,375.50,2.50,WIFI
